Episodes,AmountOfSteps,Rewards
0,85.0,1.0
1,99.0,0.0
2,99.0,0.0
3,46.0,1.0
4,99.0,0.0
5,1.0,1.0
6,99.0,0.0
7,59.0,1.0
8,28.0,1.0
9,99.0,0.0
10,19.0,1.0
11,99.0,0.0
12,46.0,1.0
13,16.0,1.0
14,3.0,1.0
15,82.0,1.0
16,99.0,0.0
17,50.0,1.0
18,1.0,1.0
19,84.0,1.0
20,24.0,1.0
21,17.0,1.0
22,3.0,1.0
23,99.0,0.0
24,99.0,0.0
25,22.0,1.0
26,80.0,1.0
27,99.0,0.0
28,16.0,1.0
29,19.0,1.0
30,59.0,1.0
31,35.0,1.0
32,99.0,0.0
33,31.0,1.0
34,99.0,0.0
35,22.0,1.0
36,5.0,1.0
37,99.0,0.0
38,13.0,1.0
39,50.0,1.0
40,99.0,0.0
41,40.0,1.0
42,99.0,0.0
43,15.0,1.0
44,51.0,1.0
45,29.0,1.0
46,41.0,1.0
47,18.0,1.0
48,20.0,1.0
49,99.0,0.0
50,12.0,1.0
51,99.0,0.0
52,96.0,1.0
53,21.0,1.0
54,52.0,1.0
55,4.0,1.0
56,99.0,0.0
57,99.0,0.0
58,13.0,1.0
59,3.0,1.0
60,8.0,1.0
61,24.0,1.0
62,22.0,1.0
63,43.0,1.0
64,33.0,1.0
65,16.0,1.0
66,87.0,1.0
67,4.0,1.0
68,25.0,1.0
69,8.0,1.0
70,44.0,1.0
71,33.0,1.0
72,81.0,1.0
73,66.0,1.0
74,99.0,0.0
75,21.0,1.0
76,37.0,1.0
77,99.0,0.0
78,99.0,0.0
79,12.0,1.0
80,5.0,1.0
81,75.0,1.0
82,32.0,1.0
83,83.0,1.0
84,99.0,0.0
85,48.0,1.0
86,20.0,1.0
87,40.0,1.0
88,99.0,0.0
89,99.0,0.0
90,99.0,0.0
91,99.0,0.0
92,70.0,1.0
93,1.0,1.0
94,2.0,1.0
95,41.0,1.0
96,24.0,1.0
97,4.0,1.0
98,10.0,1.0
99,99.0,0.0
100,26.0,1.0
101,15.0,1.0
102,24.0,1.0
103,93.0,1.0
104,99.0,0.0
105,22.0,1.0
106,99.0,0.0
107,99.0,0.0
108,99.0,0.0
109,99.0,0.0
110,59.0,1.0
111,4.0,1.0
112,99.0,0.0
113,40.0,1.0
114,15.0,1.0
115,52.0,1.0
116,99.0,0.0
117,99.0,0.0
118,99.0,0.0
119,99.0,0.0
120,16.0,1.0
121,99.0,0.0
122,18.0,1.0
123,39.0,1.0
124,19.0,1.0
125,10.0,1.0
126,4.0,1.0
127,99.0,0.0
128,5.0,1.0
129,99.0,0.0
130,11.0,1.0
131,99.0,0.0
132,99.0,0.0
133,8.0,1.0
134,30.0,1.0
135,4.0,1.0
136,3.0,1.0
137,2.0,1.0
138,2.0,1.0
139,99.0,0.0
140,99.0,0.0
141,99.0,0.0
142,56.0,1.0
143,85.0,1.0
144,11.0,1.0
145,17.0,1.0
146,52.0,1.0
147,64.0,1.0
148,7.0,1.0
149,9.0,1.0
150,71.0,1.0
151,1.0,1.0
152,99.0,0.0
153,99.0,0.0
154,3.0,1.0
155,61.0,1.0
156,7.0,1.0
157,99.0,0.0
158,6.0,1.0
159,2.0,1.0
160,99.0,0.0
161,8.0,1.0
162,7.0,1.0
163,11.0,1.0
164,33.0,1.0
165,55.0,1.0
166,3.0,1.0
167,17.0,1.0
168,1.0,1.0
169,99.0,0.0
170,99.0,0.0
171,99.0,0.0
172,24.0,1.0
173,7.0,1.0
174,99.0,0.0
175,3.0,1.0
176,99.0,0.0
177,16.0,1.0
178,40.0,1.0
179,4.0,1.0
180,99.0,0.0
181,20.0,1.0
182,99.0,0.0
183,99.0,0.0
184,3.0,1.0
185,99.0,0.0
186,99.0,0.0
187,43.0,1.0
188,87.0,1.0
189,51.0,1.0
190,12.0,1.0
191,1.0,1.0
192,1.0,1.0
193,17.0,1.0
194,14.0,1.0
195,99.0,0.0
196,2.0,1.0
197,20.0,1.0
198,99.0,0.0
199,8.0,1.0
200,99.0,0.0
201,16.0,1.0
202,13.0,1.0
203,99.0,0.0
204,99.0,0.0
205,99.0,0.0
206,99.0,0.0
207,99.0,0.0
208,99.0,0.0
209,1.0,1.0
210,36.0,1.0
211,99.0,0.0
212,3.0,1.0
213,99.0,0.0
214,34.0,1.0
215,1.0,1.0
216,33.0,1.0
217,12.0,1.0
218,10.0,1.0
219,13.0,1.0
220,99.0,0.0
221,7.0,1.0
222,99.0,0.0
223,83.0,1.0
224,1.0,1.0
225,99.0,0.0
226,6.0,1.0
227,18.0,1.0
228,99.0,0.0
229,14.0,1.0
230,7.0,1.0
231,99.0,0.0
232,11.0,1.0
233,51.0,1.0
234,99.0,0.0
235,6.0,1.0
236,99.0,0.0
237,99.0,0.0
238,38.0,1.0
239,11.0,1.0
240,99.0,0.0
241,99.0,0.0
242,99.0,0.0
243,99.0,0.0
244,99.0,0.0
245,17.0,1.0
246,99.0,0.0
247,10.0,1.0
248,99.0,0.0
249,37.0,1.0
250,7.0,1.0
251,6.0,1.0
252,1.0,1.0
253,99.0,0.0
254,3.0,1.0
255,33.0,1.0
256,49.0,1.0
257,99.0,0.0
258,99.0,0.0
259,44.0,1.0
260,99.0,0.0
261,99.0,0.0
262,26.0,1.0
263,99.0,0.0
264,68.0,1.0
265,99.0,0.0
266,14.0,1.0
267,99.0,0.0
268,2.0,1.0
269,5.0,1.0
270,58.0,1.0
271,53.0,1.0
272,8.0,1.0
273,7.0,1.0
274,2.0,1.0
275,14.0,1.0
276,18.0,1.0
277,99.0,0.0
278,6.0,1.0
279,31.0,1.0
280,68.0,1.0
281,2.0,1.0
282,99.0,0.0
283,1.0,1.0
284,99.0,0.0
285,14.0,1.0
286,74.0,1.0
287,4.0,1.0
288,11.0,1.0
289,99.0,0.0
290,7.0,1.0
291,1.0,1.0
292,99.0,0.0
293,53.0,1.0
294,99.0,0.0
295,99.0,0.0
296,15.0,1.0
297,99.0,0.0
298,99.0,0.0
299,99.0,0.0
300,99.0,0.0
301,3.0,1.0
302,69.0,1.0
303,36.0,1.0
304,8.0,1.0
305,22.0,1.0
306,99.0,0.0
307,18.0,1.0
308,99.0,0.0
309,99.0,0.0
310,13.0,1.0
311,99.0,0.0
312,99.0,0.0
313,8.0,1.0
314,6.0,1.0
315,99.0,0.0
316,54.0,1.0
317,99.0,0.0
318,99.0,0.0
319,17.0,1.0
320,99.0,0.0
321,3.0,1.0
322,99.0,0.0
323,11.0,1.0
324,24.0,1.0
325,31.0,1.0
326,99.0,0.0
327,6.0,1.0
328,3.0,1.0
329,18.0,1.0
330,99.0,0.0
331,5.0,1.0
332,99.0,0.0
333,99.0,0.0
334,7.0,1.0
335,99.0,0.0
336,99.0,0.0
337,39.0,1.0
338,1.0,1.0
339,57.0,1.0
340,28.0,1.0
341,99.0,0.0
342,99.0,0.0
343,99.0,0.0
344,74.0,1.0
345,16.0,1.0
346,99.0,0.0
347,99.0,0.0
348,31.0,1.0
349,99.0,0.0
350,82.0,1.0
351,99.0,0.0
352,12.0,1.0
353,34.0,1.0
354,7.0,1.0
355,99.0,0.0
356,14.0,1.0
357,52.0,1.0
358,1.0,1.0
359,16.0,1.0
360,99.0,0.0
361,3.0,1.0
362,57.0,1.0
363,99.0,0.0
364,11.0,1.0
365,1.0,1.0
366,5.0,1.0
367,2.0,1.0
368,34.0,1.0
369,8.0,1.0
370,99.0,0.0
371,8.0,1.0
372,99.0,0.0
373,99.0,0.0
374,99.0,0.0
