Episodes,AmountOfSteps,Rewards
0,99.0,0.0
1,99.0,0.0
2,99.0,0.0
3,99.0,0.0
4,2.0,1.0
5,45.0,1.0
6,99.0,0.0
7,99.0,0.0
8,62.0,1.0
9,99.0,0.0
10,99.0,0.0
11,22.0,1.0
12,99.0,0.0
13,54.0,1.0
14,65.0,1.0
15,45.0,1.0
16,99.0,0.0
17,54.0,1.0
18,21.0,1.0
19,64.0,1.0
20,9.0,1.0
21,46.0,1.0
22,99.0,0.0
23,15.0,1.0
24,99.0,0.0
25,1.0,1.0
26,10.0,1.0
27,3.0,1.0
28,99.0,0.0
29,31.0,1.0
30,7.0,1.0
31,62.0,1.0
32,99.0,0.0
33,1.0,1.0
34,97.0,1.0
35,21.0,1.0
36,12.0,1.0
37,76.0,1.0
38,99.0,0.0
39,96.0,1.0
40,12.0,1.0
41,80.0,1.0
42,28.0,1.0
43,99.0,0.0
44,68.0,1.0
45,1.0,1.0
46,99.0,0.0
47,11.0,1.0
48,15.0,1.0
49,99.0,0.0
50,15.0,1.0
51,99.0,0.0
52,20.0,1.0
53,50.0,1.0
54,7.0,1.0
55,5.0,1.0
56,64.0,1.0
57,99.0,0.0
58,8.0,1.0
59,11.0,1.0
60,12.0,1.0
61,99.0,0.0
62,24.0,1.0
63,2.0,1.0
64,99.0,0.0
65,99.0,0.0
66,8.0,1.0
67,99.0,0.0
68,5.0,1.0
69,99.0,0.0
70,10.0,1.0
71,13.0,1.0
72,1.0,1.0
73,17.0,1.0
74,34.0,1.0
75,12.0,1.0
76,7.0,1.0
77,99.0,0.0
78,2.0,1.0
79,27.0,1.0
80,5.0,1.0
81,15.0,1.0
82,1.0,1.0
83,3.0,1.0
84,15.0,1.0
85,99.0,0.0
86,11.0,1.0
87,6.0,1.0
88,99.0,0.0
89,6.0,1.0
90,34.0,1.0
91,99.0,0.0
92,9.0,1.0
93,99.0,0.0
94,9.0,1.0
95,4.0,1.0
96,51.0,1.0
97,99.0,0.0
98,99.0,0.0
99,1.0,1.0
100,99.0,0.0
101,99.0,0.0
102,62.0,1.0
103,25.0,1.0
104,99.0,0.0
105,10.0,1.0
106,99.0,0.0
107,7.0,1.0
108,53.0,1.0
109,99.0,0.0
110,73.0,1.0
111,99.0,0.0
112,99.0,0.0
113,13.0,1.0
114,9.0,1.0
115,99.0,0.0
116,20.0,1.0
117,99.0,0.0
118,24.0,1.0
119,23.0,1.0
120,99.0,0.0
121,99.0,0.0
122,99.0,0.0
123,12.0,1.0
124,99.0,0.0
125,99.0,0.0
126,6.0,1.0
127,14.0,1.0
128,30.0,1.0
129,27.0,1.0
130,99.0,0.0
131,12.0,1.0
132,53.0,1.0
133,99.0,0.0
134,18.0,1.0
135,8.0,1.0
136,99.0,0.0
137,3.0,1.0
138,99.0,0.0
139,4.0,1.0
140,99.0,0.0
141,15.0,1.0
142,99.0,0.0
143,11.0,1.0
144,99.0,0.0
145,51.0,1.0
146,99.0,0.0
147,27.0,1.0
148,99.0,0.0
149,99.0,0.0
150,99.0,0.0
151,9.0,1.0
152,11.0,1.0
153,99.0,0.0
154,99.0,0.0
155,23.0,1.0
156,48.0,1.0
157,13.0,1.0
158,10.0,1.0
159,5.0,1.0
160,13.0,1.0
161,99.0,0.0
162,99.0,0.0
163,10.0,1.0
164,99.0,0.0
165,99.0,0.0
166,5.0,1.0
167,7.0,1.0
